Cultivo,Kc Inicial (Kc ini),Kc Médio (Kc med),Kc Final (Kc fin),Altura Máxima (h) (m)
Brócolis,"0,70","1,05","0,95","0,30"
Couve-de-bruxelas,"0,70","1,05","0,95","0,40"
Repolho,"0,70","1,05","0,95","0,40"
Cenoura,"0,70","1,05","0,95","0,30"
Couve-flor,"0,70","1,05","0,95","0,40"
Aipo,"0,70","1,05","1,00","0,60"
Alho,"0,70","1,00","0,70","0,30"
Alface,"0,70","1,00","0,95","0,30"
Cebola – seca,"0,70","1,05","0,75","0,40"
Cebola – verde,"0,70","1,00","1,00","0,30"
Cebola – semente,"0,70","1,05","0,80","0,50"
Espinafre,"0,70","1,00","0,95","0,30"
Rabanete,"0,70","0,90","0,85","0,30"
Berinjela,0.6,"1,05","0,90","0,80"
Pimentão Doce,0.6,"1,05","0,90","0,70"
Tomate,"0,60","1,15","0,80","0,60"
Melão,"0,50","0,85","0,60","0,30"
Pepino – Colhido Fresco,"0,60","1,00","0,75","0,30"
Pepino – Colhido a Máquina,"0,50","1,00","0,90","0,30"
Abóbora-menina,"0,50","1,00","0,80","0,40"
Abobrinha ,"0,50","0,95","0,75","0,30"
Melão doce,"0,50","1,05","0,75","0,40"
Melancia,"0,40","1,00","0,75","0,40"
Beterraba de mesa,"0,50","1,05","0,95","0,40"
Mandioca – ano 1,"0,30","0,80","0,30","1,00"
Mandioca – ano 2,"0,30","1,10","0,50","1,50"
Batata,"0,50","1,15","0,75","0,60"
Batata-doce,"0,50","1,15","0,65","0,40"
Nabo (Rutabaga),"0,50","1,10","0,95","0,60"
Beterraba açucareira,"0,35","1,20","0,70","0,50"
Feijão-vagem,"0,50","1,05","0,90","0,40"
Feijão (seco e fresco),"0,40","1,15","0,35","0,40"
Grão-de-bico,"0,40","1,00","0,35","0,40"
Fava – Fresca,"0,50","1,15","1,10","0,80"
Fava – Seca/Semente,"0,50","1,15","0,30","0,80"
Grão-de-bico indiano,"0,40","1,15","0,35","0,80"
Feijão-caupi (fradinho),"0,40","1,05","0,48","0,40"
Amendoim,"0,40","1,15","0,60","0,40"
Ervilha,"0,40","1,10","0,30","0,50"
Ervilha torta ou comum – Fresca,"0,50","1,15","1,10","0,50"
Ervilha torta ou comum – Seca/Semente,"0,40","1,15","0,30","0,50"
Soja,"0,40","1,15","0,50","0,50"
Alcachofra,"0,50","1,00","0,95","0,70"
Aspargos,"0,50","0,95","0,30","0,2-0,8"
Hortelã/Menta,"0,60","1,15","1,10","0,6-0,8"
Morangos,"0,40","0,85","0,75","0,20"
Algodão,"0,35","1,18","0,60","1,2-1,5"
Linho,"0,35","1,10","0,25","1,20"
Sisal⁸,"0,35","0,60","0,60","1,50"
Mamona (Ricino),"0,35","1,15","0,55","0,30"
Canola (colza),"0,35","1,08","0,35","0,60"
